0	75179
19	1446
20	1848
21	1872
22	1862
23	1818
24	1733
25	1744
26	1776
27	1843
28	1907
29	1706
30	1784
31	1856
32	1620
33	1667
34	1605
35	1560
36	1598
37	1571
38	1659
39	1602
40	1592
41	1563
42	1541
43	1631
44	1543
45	1549
46	1559
47	1503
48	1473
49	1553
50	1487
51	1456
52	1400
53	1394
54	1364
55	1411
56	1398
57	1309
58	1356
59	1366
60	1279
61	1345
62	1340
63	1253
64	1351
65	1310
66	1366
67	1250
68	1316
69	1316
70	1309
71	1349
72	1306
73	1253
74	1302
75	1235
76	1171
77	1285
78	1320
79	1336
80	1239
81	1292
82	1205
83	1231
84	1164
85	1177
86	1185
87	1171
88	1196
89	1134
90	1176
91	1185
92	1167
93	1240
94	1122
95	1138
96	1147
97	1105
98	1181
99	1165
100	1050
101	1094
102	1067
103	1097
104	1151
105	1087
106	1018
107	1089
108	998
109	1079
110	1044
111	1059
112	1086
113	1044
114	1038
115	1059
116	999
117	1051
118	1034
119	1020
120	1060
121	991
122	993
123	1086
124	971
125	994
126	972
127	950
128	995
129	990
130	994
131	979
132	956
133	981
134	963
135	902
136	962
137	982
138	943
139	964
140	922
141	888
142	899
143	952
144	977
145	937
146	918
147	937
148	816
149	929
150	887
151	864
152	871
153	880
154	897
155	969
156	823
157	852
158	861
159	839
160	856
161	853
162	843
163	883
164	854
165	797
166	801
167	799
168	822
169	842
170	729
171	784
172	828
173	849
174	818
175	769
176	795
177	712
178	732
179	740
180	820
181	764
182	807
183	741
184	770
185	741
186	774
187	775
188	738
189	741
190	753
191	703
192	798
193	726
194	721
195	682
196	664
197	669
198	724
199	696
200	742
201	656
202	742
203	671
204	697
205	714
206	710
207	682
208	671
209	633
210	678
211	694
212	671
213	693
214	706
215	686
216	656
217	619
218	671
219	644
220	642
221	631
222	622
223	566
224	650
225	607
226	635
227	621
228	586
229	603
230	595
231	615
232	582
233	607
234	568
235	600
236	599
237	581
238	632
239	602
240	579
241	600
242	568
243	623
244	595
245	570
246	563
247	568
248	606
249	561
250	576
251	591
252	613
253	548
254	531
255	499
256	527
257	578
258	552
259	541
260	529
261	559
262	574
263	529
264	498
265	487
266	510
267	518
268	473
269	520
270	511
271	570
272	543
273	479
274	476
275	500
276	480
277	529
278	487
279	517
280	462
281	493
282	478
283	424
284	481
285	467
286	512
287	424
288	505
289	509
290	467
291	482
292	446
293	466
294	462
295	451
296	461
297	442
298	441
299	433
300	400
301	446
302	460
303	449
304	432
305	446
306	410
307	427
308	414
309	405
310	455
311	400
312	465
313	375
314	447
315	418
316	452
317	408
318	420
319	476
320	423
321	423
322	379
323	406
324	384
325	408
326	388
327	427
328	443
329	341
330	434
331	320
332	399
333	366
334	381
335	336
336	387
337	377
338	365
339	319
340	363
341	388
342	266
343	508
344	352
345	408
346	196
347	450
348	233
349	633
350	317
351	354
352	373
354	434
355	472
356	586
358	669
360	892
363	1158
367	1699
374	3548
1000	88944
